Tipo_Combustivel,Ano,Pais_Lancamento,Nome_Satellites_Carga,Dia,Probabilidade_Falha_IA,Status_do_Foguete,Idade_da_Empresa,Nome_da_Empresa,Capacidade_Maxima_LEO_KG,Foguete_Reutilizavel,Peso_Real_da_Carga_KG,Status_da_Missao,Previsao_IA_Status,Mes,Regiao_Lancamento,Tipo_de_Missao,Probabilidade_Sucesso_IA,Hora,Custo_da_Missao,Setor_da_Empresa,Orbita_Destino,Modelo_Foguete,Latitude,Longitude
Não Informado,2020,Usa,Starlink V1 L9 & BlackSky,7,0.0576833059222148,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,8,Florida,Não Informado,0.9423166940777854,5.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Lh2,2020,China,Gaofen-9 04 & Q-SAT,6,0.20702431068591,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,8,Jiuquan Satellite Launch Center,Não Informado,0.7929756893140898,4.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,150 Meter Hop,4,0.0441657785778956,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,8,Texas,Não Informado,0.9558342214221048,23.0,56.5,Commercial,Não Informado,Starship Prototype,25.99,-97.16
Hybrid,2020,Kazakhstan,Ekspress-80 & Ekspress-103,30,0.0701815601737282,StatusActive,28.0,Roscosmos,10432.0,0,0.0,Success,1,7,Baikonur Cosmodrome,Não Informado,0.929818439826272,21.0,65.0,Civil,Não Informado,Proton-M/Briz-M,45.92,63.34
Não Informado,2020,Usa,Perseverance,30,0.0642689536665669,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,7,Florida,Não Informado,0.9357310463334332,11.0,145.0,Commercial,Não Informado,Atlas V 541,28.56,-80.58
Lox/Lh2,2020,China,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",25,0.0997908689026664,StatusActive,64.0,CASC,1905.0,0,1555.0,Success,1,7,Taiyuan Satellite Launch Center,Navigation/Gps,0.9002091310973337,3.0,64.68,Commercial,Meo,Long March 4B,38.84,111.6
Não Informado,2020,Kazakhstan,Progress MS-15,23,0.2115856318808721,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,7,Baikonur Cosmodrome,Não Informado,0.7884143681191277,14.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Lox/Rp-1,2020,China,Tianwen-1,23,0.2352024560139883,StatusActive,64.0,CASC,11339.0,0,2632.0,Success,1,7,Wenchang Satellite Launch Center,Iot/Cubesat,0.7647975439860115,4.0,30.8,Commercial,Leo,Long March 5,19.61,110.95
Não Informado,2020,Usa,ANASIS-II,20,0.0513906466434989,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,7,Florida,Não Informado,0.9486093533565012,21.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Japan,Hope Mars Mission,19,0.1518203614376079,StatusActive,17.0,JAXA,0.0,0,0.0,Success,1,7,Tanegashima Space Center,Não Informado,0.8481796385623923,21.0,90.0,Civil,Não Informado,H-IIA 202,30.4,130.97
Lox/Rp-1,2020,Usa,NROL-129,15,0.3954254692474152,StatusActive,-3.0,Northrop,786.0,0,0.0,Success,1,7,Virginia,Não Informado,0.6045745307525848,13.0,46.0,Não Informado,Não Informado,Minotaur IV,37.83,-75.48
Não Informado,2020,China,"Jilin-1 02E, CentiSpace-1 S2",10,0.5483080625464053,StatusActive,-3.0,ExPace,0.0,0,0.0,Failure,0,7,Jiuquan Satellite Launch Center,Não Informado,0.4516919374535948,4.0,28.3,Não Informado,Não Informado,Kuaizhou 11,40.96,100.28
Lox/Rp-1,2020,China,Apstar-6D,9,0.5870111379969256,StatusActive,64.0,CASC,5216.0,0,2034.0,Success,0,7,Xichang Satellite Launch Center,Commercial Satellite,0.4129888620030745,12.0,29.15,Commercial,Geo,Long March 3B/E,28.24,102.02
Não Informado,2020,Israel,Ofek-16,6,0.2323854624911072,StatusActive,67.0,IAI,0.0,0,0.0,Success,1,7,Palmachim Airbase,Não Informado,0.7676145375088927,1.0,48.5,Military,Não Informado,Shavit-2,31.9,34.69
Lox/Lh2,2020,China,Shiyan-6 02,4,0.2384674422159363,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,7,Jiuquan Satellite Launch Center,Não Informado,0.7615325577840636,23.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
N2O4/Udmh,2020,New Zealand,Pics Or It Didn??¦t Happen,4,0.1671032742789025,StatusActive,14.0,Rocket Lab,136.0,1,0.0,Failure,1,7,M?Hia Peninsula,Não Informado,0.832896725721098,21.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Lox/Lh2,2020,China,Gaofen Duomo & BY-02,3,0.0997908689026664,StatusActive,64.0,CASC,1905.0,0,1555.0,Success,1,7,Taiyuan Satellite Launch Center,Navigation/Gps,0.9002091310973337,3.0,64.68,Commercial,Meo,Long March 4B,38.84,111.6
Não Informado,2020,Usa,GPS III SV03,30,0.0470807540738021,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.952919245926198,20.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2020,China,Beidou-3 G3,23,0.1595407062779546,StatusActive,64.0,CASC,5216.0,0,0.0,Success,1,6,Xichang Satellite Launch Center,Não Informado,0.8404592937220452,1.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
Lox/Lh2,2020,China,"Gaofen-9 03, Pixing III A & HEAD-5",17,0.3749132165813418,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,6,Jiuquan Satellite Launch Center,Não Informado,0.6250867834186581,7.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,Starlink V1 L8 & SkySat 16 to 18,13,0.0823128343709298,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.9176871656290704,9.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
N2O4/Udmh,2020,New Zealand,Don't stop me now!,13,0.1497154557656432,StatusActive,14.0,Rocket Lab,136.0,1,0.0,Success,1,6,M?Hia Peninsula,Não Informado,0.8502845442343568,5.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Lox/Rp-1,2020,China,Haiyang-1D,10,0.3769508709721821,StatusActive,64.0,CASC,1746.0,0,0.0,Success,1,6,Taiyuan Satellite Launch Center,Não Informado,0.6230491290278175,18.0,30.8,Commercial,Não Informado,Long March 2C,38.84,111.6
Não Informado,2020,Usa,Starlink V1 L7,4,0.0338854415995435,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.9661145584004568,1.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Lh2,2020,China,Gaofen-9-02 & HEAD-4,31,0.5548896312162764,StatusActive,64.0,CASC,1587.0,0,0.0,Success,0,5,Jiuquan Satellite Launch Center,Não Informado,0.4451103687837237,8.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,SpaceX Demo-2,30,0.0742364718743486,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,5,Florida,Não Informado,0.9257635281256514,19.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2020,China,XJS-G and XJS-H,29,0.2401672360933477,StatusActive,64.0,CASC,317.0,0,0.0,Success,1,5,Xichang Satellite Launch Center,Não Informado,0.7598327639066521,20.0,5.3,Commercial,Não Informado,Long March 11,28.24,102.02
Lox/Rp-1,2020,Usa,Demo Flight,25,0.8030435608956187,StatusActive,3.0,Virgin Orbit,226.0,0,0.0,Failure,0,5,California,Não Informado,0.1969564391043813,19.0,12.0,Commercial,Não Informado,LauncherOne,34.63,-120.61
Não Informado,2020,Russia,Cosmos 2546,22,0.1408425084248868,StatusActive,28.0,VKS RF,0.0,0,0.0,Success,1,5,Plesetsk Cosmodrome,Não Informado,0.859157491575113,7.0,41.8,Civil,Não Informado,Soyuz 2.1b/Fregat-M,62.93,40.57
Lox/Rp-1,2020,Japan,HTV-9,20,0.2313646940579215,StatusRetired,17.0,MHI,8618.0,0,0.0,Success,1,5,Tanegashima Space Center,Não Informado,0.7686353059420784,17.0,112.5,Civil,Não Informado,H-IIB,30.4,130.97
Não Informado,2020,Usa,OTV-6 (USSF-7),17,0.0734681755808381,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,5,Florida,Não Informado,0.9265318244191622,13.0,120.0,Commercial,Não Informado,Atlas V 501,28.56,-80.58
Não Informado,2020,China,Xingyun-2 01 (Wuhan) & 02,12,0.1524365684064591,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,5,Jiuquan Satellite Launch Center,Não Informado,0.8475634315935406,1.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Não Informado,2020,China,Test Flight (New Crew Capsule),5,0.5380189279460452,StatusActive,64.0,CASC,0.0,0,0.0,Success,0,5,Wenchang Satellite Launch Center,Não Informado,0.4619810720539548,10.0,30.8,Commercial,Não Informado,Long March 5B,19.61,110.95
Não Informado,2020,Kazakhstan,Progress MS-14,25,0.0890313899087006,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,4,Baikonur Cosmodrome,Não Informado,0.9109686100912996,1.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Não Informado,2020,Usa,Starlink V1 L6,22,0.061774148210715,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,4,Florida,Não Informado,0.9382258517892852,19.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Shahrud Missile Test Site,Noor 1,22,0.2769170714569789,StatusActive,-3.0,IRGC,0.0,0,0.0,Success,1,4,Launch Plateform,Não Informado,0.7230829285430211,3.0,48.5,Não Informado,Não Informado,Qased,34.9,121.19
Lox/Rp-1,2020,China,Nusantara Dua,9,0.610005755929609,StatusActive,64.0,CASC,5216.0,0,0.0,Failure,0,4,Xichang Satellite Launch Center,Não Informado,0.3899942440703912,11.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
Não Informado,2020,Kazakhstan,Soyuz MS-16,9,0.2184443490026135,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,4,Baikonur Cosmodrome,Não Informado,0.7815556509973867,8.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Não Informado,2020,Usa,AEHF 6,26,0.0203603728046289,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,3,Florida,Não Informado,0.9796396271953712,20.0,153.0,Commercial,Não Informado,Atlas V 551,28.56,-80.58
