Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,8,7,5,Falcon 9 Block 5,Starlink V1 L9 & BlackSky,United States,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,8,6,4,Long March 2D,Gaofen-9 04 & Q-SAT,China,3,1
SpaceX,StatusActive,56.5,Success,USA,Texas,2020,8,4,23,Starship Prototype,150 Meter Hop,United States,3,1
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2020,7,30,21,Proton-M/Briz-M,Ekspress-80 & Ekspress-103,Kazakhstan,3,1
ULA,StatusActive,145.0,Success,USA,Florida,2020,7,30,11,Atlas V 541,Perseverance,United States,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2020,7,25,3,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",China,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,7,23,14,Soyuz 2.1a,Progress MS-15,Kazakhstan,3,1
CASC,StatusActive,30.8,Success,China,Wenchang Satellite Launch Center,2020,7,23,4,Long March 5,Tianwen-1,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,7,20,21,Falcon 9 Block 5,ANASIS-II,United States,3,1
JAXA,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2020,7,19,21,H-IIA 202,Hope Mars Mission,Japan,3,1
Northrop,StatusActive,46.0,Success,USA,Virginia,2020,7,15,13,Minotaur IV,NROL-129,United States,3,1
ExPace,StatusActive,28.3,Failure,China,Jiuquan Satellite Launch Center,2020,7,10,4,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2",China,0,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,7,9,12,Long March 3B/E,Apstar-6D,China,3,1
IAI,StatusActive,48.5,Success,Israel,Palmachim Airbase,2020,7,6,1,Shavit-2,Ofek-16,Israel,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,7,4,23,Long March 2D,Shiyan-6 02,China,3,1
Rocket Lab,StatusActive,7.5,Failure,New Zealand,M?hia Peninsula,2020,7,4,21,Electron/Curie,Pics Or It Didn??¦t Happen,New Zealand,0,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2020,7,3,3,Long March 4B,Gaofen Duomo & BY-02,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6,30,20,Falcon 9 Block 5,GPS III SV03,United States,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,6,23,1,Long March 3B/E,Beidou-3 G3,China,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,6,17,7,Long March 2D,"Gaofen-9 03, Pixing III A & HEAD-5",China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6,13,9,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18,United States,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2020,6,13,5,Electron/Curie,Don't stop me now!,New Zealand,3,1
CASC,StatusActive,30.8,Success,China,Taiyuan Satellite Launch Center,2020,6,10,18,Long March 2C,Haiyang-1D,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6,4,1,Falcon 9 Block 5,Starlink V1 L7,United States,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,5,31,8,Long March 2D,Gaofen-9-02 & HEAD-4,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,5,30,19,Falcon 9 Block 5,SpaceX Demo-2,United States,3,1
