Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num,Alvo_Sucesso,Empresa_Cod,Pais_Cod,Probabilidade_Sucesso,Probabilidade_Falha,Previsao_IA_Status
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,8.0,7.0,5.0,Falcon 9 Block 5,Starlink V1 L9 & BlackSky,United States,3,1,1,46.0,16.0,0.9423166940777854,0.0576833059222148,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,8.0,6.0,4.0,Long March 2D,Gaofen-9 04 & Q-SAT,China,3,1,1,7.0,2.0,0.7929756893140898,0.20702431068591004,1
SpaceX,StatusActive,56.5,Success,USA,Texas,2020,8.0,4.0,23.0,Starship Prototype,150 Meter Hop,United States,3,1,1,46.0,16.0,0.9558342214221047,0.0441657785778956,1
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2020,7.0,30.0,21.0,Proton-M/Briz-M,Ekspress-80 & Ekspress-103,Kazakhstan,3,1,1,42.0,9.0,0.929818439826272,0.07018156017372822,1
ULA,StatusActive,145.0,Success,USA,Florida,2020,7.0,30.0,11.0,Atlas V 541,Perseverance,United States,3,1,1,48.0,16.0,0.9357310463334333,0.06426895366656696,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2020,7.0,25.0,3.0,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",China,3,1,1,7.0,2.0,0.9002091310973337,0.09979086890266642,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,7.0,23.0,14.0,Soyuz 2.1a,Progress MS-15,Kazakhstan,3,1,1,42.0,9.0,0.7884143681191277,0.21158563188087215,1
CASC,StatusActive,30.8,Success,China,Wenchang Satellite Launch Center,2020,7.0,23.0,4.0,Long March 5,Tianwen-1,China,3,1,1,7.0,2.0,0.7647975439860115,0.23520245601398831,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,7.0,20.0,21.0,Falcon 9 Block 5,ANASIS-II,United States,3,1,1,46.0,16.0,0.9486093533565012,0.051390646643498974,1
JAXA,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2020,7.0,19.0,21.0,H-IIA 202,Hope Mars Mission,Japan,3,1,1,24.0,8.0,0.8481796385623923,0.15182036143760794,1
Northrop,StatusActive,46.0,Success,USA,Virginia,2020,7.0,15.0,13.0,Minotaur IV,NROL-129,United States,3,1,1,36.0,16.0,0.6045745307525848,0.3954254692474152,1
ExPace,StatusActive,28.3,Failure,China,Jiuquan Satellite Launch Center,2020,7.0,10.0,4.0,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2",China,0,1,0,15.0,2.0,0.4516919374535948,0.5483080625464053,0
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,7.0,9.0,12.0,Long March 3B/E,Apstar-6D,China,3,1,1,7.0,2.0,0.41298886200307455,0.5870111379969256,0
IAI,StatusActive,48.5,Success,Israel,Palmachim Airbase,2020,7.0,6.0,1.0,Shavit-2,Ofek-16,Israel,3,1,1,18.0,7.0,0.7676145375088927,0.23238546249110723,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,7.0,4.0,23.0,Long March 2D,Shiyan-6 02,China,3,1,1,7.0,2.0,0.7615325577840636,0.23846744221593638,1
Rocket Lab,StatusActive,7.5,Failure,New Zealand,M?hia Peninsula,2020,7.0,4.0,21.0,Electron/Curie,Pics Or It Didn??¦t Happen,New Zealand,0,1,0,41.0,11.0,0.832896725721098,0.16710327427890256,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2020,7.0,3.0,3.0,Long March 4B,Gaofen Duomo & BY-02,China,3,1,1,7.0,2.0,0.9002091310973337,0.09979086890266642,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6.0,30.0,20.0,Falcon 9 Block 5,GPS III SV03,United States,3,1,1,46.0,16.0,0.952919245926198,0.04708075407380217,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,6.0,23.0,1.0,Long March 3B/E,Beidou-3 G3,China,3,1,1,7.0,2.0,0.8404592937220452,0.15954070627795464,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,6.0,17.0,7.0,Long March 2D,"Gaofen-9 03, Pixing III A & HEAD-5",China,3,1,1,7.0,2.0,0.6250867834186581,0.3749132165813418,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6.0,13.0,9.0,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18,United States,3,1,1,46.0,16.0,0.9176871656290704,0.08231283437092983,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2020,6.0,13.0,5.0,Electron/Curie,Don't stop me now!,New Zealand,3,1,1,41.0,11.0,0.8502845442343568,0.1497154557656432,1
CASC,StatusActive,30.8,Success,China,Taiyuan Satellite Launch Center,2020,6.0,10.0,18.0,Long March 2C,Haiyang-1D,China,3,1,1,7.0,2.0,0.6230491290278175,0.37695087097218216,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,6.0,4.0,1.0,Falcon 9 Block 5,Starlink V1 L7,United States,3,1,1,46.0,16.0,0.9661145584004567,0.0338854415995435,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2020,5.0,31.0,8.0,Long March 2D,Gaofen-9-02 & HEAD-4,China,3,1,1,7.0,2.0,0.44511036878372373,0.5548896312162764,0
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,5.0,30.0,19.0,Falcon 9 Block 5,SpaceX Demo-2,United States,3,1,1,46.0,16.0,0.9257635281256514,0.07423647187434869,1
CASC,StatusActive,5.3,Success,China,Xichang Satellite Launch Center,2020,5.0,29.0,20.0,Long March 11,XJS-G and XJS-H,China,3,1,1,7.0,2.0,0.7598327639066521,0.24016723609334775,1
Virgin Orbit,StatusActive,12.0,Failure,USA,California,2020,5.0,25.0,19.0,LauncherOne,Demo Flight,United States,0,1,0,53.0,16.0,0.1969564391043813,0.8030435608956187,0
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2020,5.0,22.0,7.0,Soyuz 2.1b/Fregat-M,Cosmos 2546,Russia,3,1,1,52.0,13.0,0.859157491575113,0.1408425084248868,1
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2020,5.0,20.0,17.0,H-IIB,HTV-9,Japan,3,0,1,32.0,8.0,0.7686353059420784,0.2313646940579215,1
ULA,StatusActive,120.0,Success,USA,Florida,2020,5.0,17.0,13.0,Atlas V 501,OTV-6 (USSF-7),United States,3,1,1,48.0,16.0,0.9265318244191622,0.07346817558083818,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2020,5.0,12.0,1.0,Kuaizhou 1A,Xingyun-2 01 (Wuhan) & 02,China,3,1,1,15.0,2.0,0.8475634315935406,0.1524365684064591,1
CASC,StatusActive,30.8,Success,China,Wenchang Satellite Launch Center,2020,5.0,5.0,10.0,Long March 5B,Test Flight (New Crew Capsule),China,3,1,1,7.0,2.0,0.46198107205395483,0.5380189279460452,0
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,4.0,25.0,1.0,Soyuz 2.1a,Progress MS-14,Kazakhstan,3,1,1,42.0,9.0,0.9109686100912995,0.08903138990870062,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,4.0,22.0,19.0,Falcon 9 Block 5,Starlink V1 L6,United States,3,1,1,46.0,16.0,0.9382258517892852,0.06177414821071506,1
IRGC,StatusActive,48.5,Success,Shahrud Missile Test Site,Launch Plateform,2020,4.0,22.0,3.0,Qased,Noor 1,Iran,3,1,1,20.0,6.0,0.7230829285430211,0.2769170714569789,1
